,type,title,release_year,api_url,target_url,audience_score,tomato_score
6876,Movie,Good Kisser,2019,https://www.rottentomatoes.com/api/private/v2.0/search?q=Good+Kisser,https://www.rottentomatoes.com/m/good_kisser,-1,75
6877,Movie,Good Luck,2012,https://www.rottentomatoes.com/api/private/v2.0/search?q=Good+Luck,https://www.rottentomatoes.com/m/good_luck_2017,-1,100
6878,Movie,"Good Night, and Good Luck",2005,"https://www.rottentomatoes.com/api/private/v2.0/search?q=Good+Night,+and+Good+Luck",https://www.rottentomatoes.com/m/1152019-good_night_and_good_luck,83,93
6879,Movie,Good People,2014,https://www.rottentomatoes.com/api/private/v2.0/search?q=Good+People,https://www.rottentomatoes.com/m/good_people_2014,22,12
6880,Movie,GoodFellas,1990,https://www.rottentomatoes.com/api/private/v2.0/search?q=GoodFellas,https://www.rottentomatoes.com/m/1032176-goodfellas,97,96
6881,Movie,Gook,2017,https://www.rottentomatoes.com/api/private/v2.0/search?q=Gook,https://www.rottentomatoes.com/m/gook,83,94
6882,Movie,Goon,2011,https://www.rottentomatoes.com/api/private/v2.0/search?q=Goon,https://www.rottentomatoes.com/m/goon,71,81
6883,Movie,Goosebumps 2: Haunted Halloween,2018,https://www.rottentomatoes.com/api/private/v2.0/search?q=Goosebumps+2:+Haunted+Halloween,https://www.rottentomatoes.com/m/goosebumps_2_haunted_halloween,36,47
6884,Movie,Gosford Park,2001,https://www.rottentomatoes.com/api/private/v2.0/search?q=Gosford+Park,https://www.rottentomatoes.com/m/gosford_park,78,87
6885,TV Show,Gossip Girl,2012,https://www.rottentomatoes.com/api/private/v2.0/search?q=Gossip+Girl,https://www.rottentomatoes.com/tv/gossip_girl_2021/s01,63,38
